Product,Terminal,relationship,Relationship
电芯与PACK,动力电池组,component,原材料
隔膜,动力电池组,component,原材料
电池结构件,动力电池组,component,原材料
BMS,动力电池组,component,原材料
电子控制系统,汽车电子,component,原材料
车载电子装置,汽车电子,component,原材料
硅钢片,电机,component,原材料
永磁材料,电机,component,原材料
PCB板,电控,component,原材料
IGBT芯片,电控,component,原材料
汽车热管理,整车制造,component,原材料
水箱,整车制造,component,原材料
进气格栅,整车制造,component,原材料
后视镜,整车制造,component,原材料
车窗玻璃,整车制造,component,原材料
安全气囊,整车制造,component,原材料
脚垫,整车制造,component,原材料
方向盘,整车制造,component,原材料
主地毯,整车制造,component,原材料
保险杠,整车制造,component,原材料
车灯,整车制造,component,原材料
座椅,整车制造,component,原材料
仪表盘,整车制造,component,原材料
车身,整车制造,component,原材料
车饰板,整车制造,component,原材料
底盘,整车制造,component,原材料
轮胎,整车制造,component,原材料
车桥,整车制造,component,原材料
刹车片,整车制造,component,原材料
传动轴,整车制造,component,原材料
减震器,整车制造,component,原材料
